en,fr
"Following this, a number of new state of the art instruments were also added to the telescope.","À partir de la même période, toute une série de nouveaux instruments de pointe sont installés sur le télescope."
Asteroid 4843 is named in honour of the observatory.,L'astéroïde no 4843 porte le nom de Mégantic en l'honneur de l'observatoire.
Astronomers « Return to the observatories The Canada-France-Hawaii Observatory One of the most powerful and productive observatories in the world The Canada-France-Hawaii Observatory began operating in 1979 atop the Mauna Kea volcano in Hawaii.,"Astronomes « Retour aux observatoires L'Observatoire Canada-France-Hawaï Un des observatoires les plus performants et productifs au monde L'Observatoire Canada-France-Hawaï entre en opération en 1979 sur le volcan Mauna Kea, à Hawaï."
Canada’s participation meant valuable access to a world-class telescope for Canadian astronomers.,"Sa création a pour but de combler, chez les astronomes canadiens, un besoin de plus en plus grand de disposer d'un nouveau télescope de classe mondiale."
"At the time of its inauguration, the 3.6-metre telescope was the sixth largest in the world and operated in the range of visible light and infrared.","Au moment de son inauguration, le télescope de 3,6 mètres de diamètre est le sixième plus grand au monde et opère dans le domaine de la lumière visible et infrarouge."
France launched the project in 1970 with the purchase of a 14-tonne glass disk.,La France amorce le projet en 1970 avec l'achat d'un disque de verre de 14 tonnes.
"The state of Hawaii joined the project in 1971, followed by Canada in 1973.","L'état d'Hawaï se joint au projet en 1971 et le Canada, en 1973."
The three partners signed an agreement in 1974 and the Canada-France-Hawaii Telescope Corporation was born.,Une entente est ensuite signée en 1974 entre les trois partenaires et la Corporation du télescope Canada-France-Hawaï est crée.
"Canada was in charge of polishing the mirror, putting into place a control system for the telescope, and constructing the observatory building.","Le Canada prend en charge le polissage du miroir, la mise au point du système de contrôle du télescope et la construction du bâtiment de l'observatoire."
"France was responsible for constructing specific mechanical parts for the telescope (tube, frame, etc.), and Hawaii provided the site, a road to the site, and several instruments.","La France s'occupe de la construction des parties mécaniques (tube, monture, etc.) du télescope et Hawaï fournit la route, le site du Mauna Kea et quelques instruments."
The telescope’s mobile component weighed 250 tonnes and the total structure weighed 325 tonnes.,La partie mobile du télescope fait 250 tonnes et la structure totale pèse 325 tonnes.
"In 1977, the headquarters and a library were set up at Waimea near the observatory.","En 1977, le quartier général du télescope et une bibliothèque sont aménagés à Waimea, près de l'observatoire."
"Canada was granted access to 42.5% of the available observation time, France 42.5%, and the United States 15%.","Le Canada dispose de 42,5 % du temps d'observation, la France de 42,5 %, et les Etats-Unis, de 15 %."
"In 1996, an adaptive optics system was installed on the telescope that would once again rival the Hubble Space Telescope in the production of the highest resolution astronomical images.","En 1996, un système d'optique adaptative est installé sur le télescope lui permettant ainsi de rivaliser de nouveau avec le télescope spatial Hubble dans la production des meilleures images astronomiques."
"These new improvements quickly bore fruit for the Canada-France-Hawaii Observatory as it was involved in discovering – or confirming the discovery of – many new moons, gravitational lenses, and so on.","Ces nouvelles améliorations portent rapidement fruits et l'Observatoire Canada-France-Hawaï est impliqué dans la découverte ou la confirmation de la découverte de nombreuses nouvelles lunes, de lentilles gravitationelles, etc."
"For example, astronomers Brett J. Gladman and John J. Kavelaars discovered three new satellites around the planet Uranus in 1999 (Prospero, Setebos, and Stephano) and eight around Saturn in 2000 (Siarnaq, Tarvos, Ijrak, Thrymr, Skathi, Mundilfari, Erriapo and Suttungr).","Par exemple, les astronomes canadiens Brett James Gladman et John J. Kavelaars découvrent trois nouveaux satellites (Prospero, Setebos et Stephano) à la planète Uranus en 1999 et huit (Siarnaq, Tarvos, Ijrak, Thrymr, Skathi, Mundilfari, Erriapo et Suttungr) à Saturne en 2000."
"The discoveries of other moons around Uranus and Neptune were announced in 2001 and 2002, but have not yet been confirmed.","D'autres lunes sont découvertes pour Uranus et Neptune, en 2001 et 2002, mais elles ne sont pas encore confirmées."
"In 2003, a new imaging system known as MegaPrime was installed.","En 2003, on installe un nouveau système d'imagerie appelé MegaPrime qui fait usage d'une caméra de conception française nommée MegaCam."
"MegaPrime uses the French-designed MegaCam camera that is able to take 340-million pixel images (about 18,400 x 18,400 pixels), making it the most powerful camera of its type in the world.","Capable de prendre des clichés de 340 millions de pixels (soit environ 18 400 x 18 400 pixels), il s'agit de la meilleure caméra du genre au monde."
"These days, the observatory is involved in the study of the solar system, the birth and evolution of stars, the interstellar medium, the structure and content of galaxies, galaxy clusters, and large-scale structures of the Universe.","L'observatoire s'implique aujourd'hui dans l'étude du système solaire, la naissance et l'évolution des étoiles, le milieu interstellaire, la structure et le contenu des galaxies, les amas de galaxies et les grandes structures de l'Univers."
The Canadian participation in the observatory is managed by the National Research Council of Canada’s Herzberg Institute of Astrophysics.,La participation canadienne dans l'observatoire est gérée par l'Institut Herzberg d'Astrophysique du Conseil National de Recherches du Canada.
Astronomers « Return to the observatories The James-Clerk-Maxwell Observatory The largest submillimetre radio telescope in the world The James-Clerk-Maxwell Observatory was inaugurated in 1987 near the summit of Mauna Kea volcano in Hawaii.,"Astronomes « Retour aux observatoires L'Observatoire James-Clerk-Maxwell Le plus grand radiotélescope submillimétrique au monde L'Observatoire James-Clerk-Maxwell est inauguré en 1987 sur le volcan Mauna Kea, à Hawaï."
